k,regressor,VA,RMSE,r2,file_type,dynamic,feature_sel,selection_method,pearson_treshold,max_features
11,Ridge,VA(mean),0.11440604303340865,0.634830007171125,eda,False,True,RreliefF,0.0,10
11,SVRlinear,VA(mean),0.11454613742395589,0.6343693889913988,eda,False,True,RreliefF,0.0,10
11,LR,VA(mean),0.11474416451535578,0.6323147545497024,eda,False,True,RreliefF,0.0,10
10,SVRrbf,VA(mean),0.11557910257633075,0.6534765776552813,eda,False,True,embedded,0.0,0
12,Ridge,VA(mean),0.11578311824276917,0.8578755476017497,fusion,False,False,none,0.0,0
17,SVRrbf,VA(mean),0.1163963797308668,0.8159678087685576,fusion,False,True,RreliefF,0.0,10
7,Ridge,VA(mean),0.11655548224184345,0.4657542684520837,eda,False,True,Pearson,0.05,0
14,SVRpoly,VA(std),0.11698116344682974,0.5197878906885558,fusion,False,True,backward,0.0,0
7,SVRlinear,VA(mean),0.11712844455430718,0.459501120226542,eda,False,True,Pearson,0.05,0
7,LR,VA(mean),0.11719292206895189,0.4596036297968668,eda,False,True,Pearson,0.05,0
8,SVRrbf,VA(mean),0.11732316242263932,0.5440748216468196,eda,False,True,backward,0.0,0
11,SVRrbf,VA(mean),0.11738608953274529,0.6147807885713995,eda,False,True,RreliefF,0.0,10
9,Ridge,VA(mean),0.11759377853339922,0.4557655983835181,eda,False,True,RFE,0.0,0
9,SVRlinear,VA(mean),0.11803490094792031,0.4501777568311491,eda,False,True,RFE,0.0,0
9,LR,VA(mean),0.11828472318541179,0.4468152771408212,eda,False,True,RFE,0.0,0
2,SVRrbf,VA(mean),0.12061794765256115,0.5258814011960837,audio,False,True,backward,0.0,0
16,SVRrbf,VA(mean),0.12078152103141468,0.5983830760443345,fusion,False,True,embedded,0.0,0
5,kNN,VA(mean),0.12152514664146301,0.8281161108015279,audio,False,True,RreliefF,0.0,10
6,Ridge,VA(mean),0.12168889647614034,0.8452484231422417,eda,False,False,none,0.0,0
17,kNN,VA(mean),0.12188173161592852,0.7963424839709848,fusion,False,True,RreliefF,0.0,10
5,RF,VA(std),0.1225105299111889,0.6189095645132904,audio,False,True,RreliefF,0.0,10
12,LR,VA(mean),0.12285397144683678,0.8388726631528801,fusion,False,False,none,0.0,0
15,SVRrbf,VA(mean),0.1231544067922296,0.6338692077611411,fusion,False,True,RFE,0.0,0
6,SVRlinear,VA(mean),0.12319577429554436,0.8410750777441137,eda,False,False,none,0.0,0
8,kNN,VA(mean),0.12330580101380909,0.49726520475856095,eda,False,True,backward,0.0,0
17,Lasso,VA(std),0.12369352392940954,-0.04150933789837645,fusion,False,True,RreliefF,0.0,10
17,ElasticNet,VA(std),0.12369352392940954,-0.04150933789837645,fusion,False,True,RreliefF,0.0,10
4,SVRrbf,VA(mean),0.12453242502603779,0.5692962580589643,audio,False,True,embedded,0.0,0
11,SVRpoly,VA(mean),0.12458040506430852,0.5722935869707737,eda,False,True,RreliefF,0.0,10
10,kNN,VA(mean),0.12471616630428803,0.597584477292182,eda,False,True,embedded,0.0,0
6,LR,VA(mean),0.12512435746626058,0.8350905616419073,eda,False,False,none,0.0,0
10,RF,VA(mean),0.12515876630064446,0.5906390168025749,eda,False,True,embedded,0.0,0
9,SVRrbf,VA(mean),0.12536826817234564,0.3794334816986653,eda,False,True,RFE,0.0,0
3,kNN,VA(mean),0.12564472210590258,0.2235302373741245,audio,False,True,RFE,0.0,0
1,SVRrbf,VA(mean),0.12568195512266217,0.6153223231877674,audio,False,True,Pearson,0.1,0
9,DT,VA(mean),0.12580186284456746,0.37768127222505826,eda,False,True,RFE,0.0,0
13,SVRrbf,VA(mean),0.12610444438391608,0.6131278792797994,fusion,False,True,Pearson,0.1,0
14,kNN,VA(mean),0.12623509092436147,0.20543257721967806,fusion,False,True,backward,0.0,0
11,Lasso,VA(std),0.1263465148332253,-0.14888221400836016,eda,False,True,RreliefF,0.0,10
11,ElasticNet,VA(std),0.1263465148332253,-0.14888221400836016,eda,False,True,RreliefF,0.0,10
12,SVRlinear,VA(mean),0.12641664333855746,0.8293609510484098,fusion,False,False,none,0.0,0
7,SVRrbf,VA(mean),0.12699630611329454,0.3609328195910299,eda,False,True,Pearson,0.05,0
3,DT,VA(mean),0.12741949890442913,0.16711969793504855,audio,False,True,RFE,0.0,0
0,DT,VA(mean),0.12750472637660173,0.8346552546385666,audio,False,False,none,0.0,0
7,DT,VA(mean),0.1277117285457091,0.35621930287882964,eda,False,True,Pearson,0.05,0
