k,regressor,VA,RMSE,r2,type,dynamic,feature_sel,method,Ptresh,max_feat
4,SVRlinear,A(std),0.04700833155435848,-0.011137306287043226,audio,False,True,embedded,0.0,0
2,kNN,A(std),0.047042305992711406,-0.0046041725926944,audio,False,True,backward,0.0,0
16,SVRrbf,V(std),0.047075965432564815,-0.08298494594256992,fusion,False,True,embedded,0.0,0
0,kNN,A(std),0.04708860764045285,-0.00854733648225604,audio,False,False,none,0.0,0
12,SVRrbf,V(std),0.047111975560494034,-0.08675013986819258,fusion,False,False,none,0.0,0
7,RF,A(std),0.04715635099396358,-0.008215139449323516,eda,False,True,Pearson,0.05,0
10,Ridge,A(std),0.047202497186515216,-0.008323483913023223,eda,False,True,embedded,0.0,0
10,LR,A(std),0.047202542425695035,-0.00832583875025834,eda,False,True,embedded,0.0,0
14,SVRrbf,V(std),0.047246899284064926,-0.09422618006119907,fusion,False,True,backward,0.0,0
2,SVRrbf,V(std),0.04725301756023321,-0.09529218123948309,audio,False,True,backward,0.0,0
10,DT,V(std),0.04727405376019359,-0.08837541423325954,eda,False,True,embedded,0.0,0
6,RF,A(std),0.04728817816132498,-0.012779553223569828,eda,False,False,none,0.0,0
17,Lasso,A(std),0.047309449376286436,-0.01277272859291274,fusion,False,True,RreliefF,0.0,10
17,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,fusion,False,True,RreliefF,0.0,10
5,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,audio,False,True,RreliefF,0.0,10
6,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,eda,False,False,none,0.0,0
6,Lasso,A(std),0.047309449376286436,-0.01277272859291274,eda,False,False,none,0.0,0
5,Lasso,A(std),0.047309449376286436,-0.01277272859291274,audio,False,True,RreliefF,0.0,10
7,Lasso,A(std),0.047309449376286436,-0.01277272859291274,eda,False,True,Pearson,0.05,0
7,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,eda,False,True,Pearson,0.05,0
0,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,audio,False,False,none,0.0,0
0,Lasso,A(std),0.047309449376286436,-0.01277272859291274,audio,False,False,none,0.0,0
4,Lasso,A(std),0.047309449376286436,-0.01277272859291274,audio,False,True,embedded,0.0,0
4,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,audio,False,True,embedded,0.0,0
10,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,eda,False,True,embedded,0.0,0
3,Lasso,A(std),0.047309449376286436,-0.01277272859291274,audio,False,True,RFE,0.0,0
1,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,audio,False,True,Pearson,0.1,0
13,Lasso,A(std),0.047309449376286436,-0.01277272859291274,fusion,False,True,Pearson,0.1,0
15,Lasso,A(std),0.047309449376286436,-0.01277272859291274,fusion,False,True,RFE,0.0,0
16,Lasso,A(std),0.047309449376286436,-0.01277272859291274,fusion,False,True,embedded,0.0,0
15,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,fusion,False,True,RFE,0.0,0
12,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,fusion,False,False,none,0.0,0
12,Lasso,A(std),0.047309449376286436,-0.01277272859291274,fusion,False,False,none,0.0,0
3,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,audio,False,True,RFE,0.0,0
11,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,eda,False,True,RreliefF,0.0,10
11,Lasso,A(std),0.047309449376286436,-0.01277272859291274,eda,False,True,RreliefF,0.0,10
1,Lasso,A(std),0.047309449376286436,-0.01277272859291274,audio,False,True,Pearson,0.1,0
2,Lasso,A(std),0.047309449376286436,-0.01277272859291274,audio,False,True,backward,0.0,0
2,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,audio,False,True,backward,0.0,0
16,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,fusion,False,True,embedded,0.0,0
13,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,fusion,False,True,Pearson,0.1,0
14,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,fusion,False,True,backward,0.0,0
14,Lasso,A(std),0.047309449376286436,-0.01277272859291274,fusion,False,True,backward,0.0,0
8,Lasso,A(std),0.047309449376286436,-0.01277272859291274,eda,False,True,backward,0.0,0
8,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,eda,False,True,backward,0.0,0
10,Lasso,A(std),0.047309449376286436,-0.01277272859291274,eda,False,True,embedded,0.0,0
9,ElasticNet,A(std),0.047309449376286436,-0.01277272859291274,eda,False,True,RFE,0.0,0
9,Lasso,A(std),0.047309449376286436,-0.01277272859291274,eda,False,True,RFE,0.0,0
2,DT,A(std),0.04731018227272439,-0.06449198582856694,audio,False,True,backward,0.0,0
4,SVRrbf,V(std),0.0473583484834704,-0.09694066660619953,audio,False,True,embedded,0.0,0
3,SVRlinear,V(std),0.04735906233123908,-0.09823980821437352,audio,False,True,RFE,0.0,0
9,RF,A(std),0.047400220118883125,-0.018507347531045472,eda,False,True,RFE,0.0,0
9,LR,A(std),0.04743009964440479,-0.018896577096973753,eda,False,True,RFE,0.0,0
10,SVRpoly,V(std),0.047444219537545435,-0.10237714075799195,eda,False,True,embedded,0.0,0
0,SVRlinear,V(std),0.047506610024205594,-0.10420586373820524,audio,False,False,none,0.0,0
13,kNN,A(std),0.04751768780855576,-0.0274993380144526,fusion,False,True,Pearson,0.1,0
1,kNN,A(std),0.04751768780855576,-0.0274993380144526,audio,False,True,Pearson,0.1,0
4,SVRlinear,V(std),0.0475550668683199,-0.10443069293504621,audio,False,True,embedded,0.0,0
14,SVRlinear,V(std),0.04755846861466577,-0.11220651895358894,fusion,False,True,backward,0.0,0
5,kNN,V(std),0.04756371611398133,-0.1054578023964587,audio,False,True,RreliefF,0.0,10
16,SVRlinear,V(std),0.04757311714116837,-0.10444816221917656,fusion,False,True,embedded,0.0,0
9,Ridge,A(std),0.047602726257885815,-0.02576336004329711,eda,False,True,RFE,0.0,0
10,RF,A(std),0.047618774050866564,-0.0216297662231248,eda,False,True,embedded,0.0,0
5,kNN,A(std),0.04763776795377781,-0.03767475501131595,audio,False,True,RreliefF,0.0,10
10,SVRlinear,V(std),0.04764232355751015,-0.11256680542764078,eda,False,True,embedded,0.0,0
17,DT,A(std),0.04764733913632704,-0.02822065176094011,fusion,False,True,RreliefF,0.0,10
11,RF,A(std),0.04767099233535431,-0.008987187231969984,eda,False,True,RreliefF,0.0,10
3,DT,V(std),0.04768501636882454,-0.11034705747921394,audio,False,True,RFE,0.0,0
14,SVRpoly,V(std),0.04768583066960214,-0.11371398235202286,fusion,False,True,backward,0.0,0
8,SVRlinear,V(std),0.04770356006604099,-0.11575242194841628,eda,False,True,backward,0.0,0
12,SVRpoly,V(std),0.047719526807386246,-0.11496236065903834,fusion,False,False,none,0.0,0
12,SVRlinear,V(std),0.047762636452156504,-0.11589668163990854,fusion,False,False,none,0.0,0
8,RF,A(std),0.04779700375042555,-0.028031529359807204,eda,False,True,backward,0.0,0
11,Ridge,A(std),0.04782210252641373,-0.033956251379819925,eda,False,True,RreliefF,0.0,10
11,DT,A(std),0.04789130719724992,-0.047857304413335855,eda,False,True,RreliefF,0.0,10
11,LR,A(std),0.04791342631235384,-0.03779896811179617,eda,False,True,RreliefF,0.0,10
11,SVRpoly,V(std),0.04794134823754106,-0.12447705847082284,eda,False,True,RreliefF,0.0,10
16,DT,A(std),0.048000190950010825,-0.05457527722707796,fusion,False,True,embedded,0.0,0
11,SVRlinear,V(std),0.048024438943549214,-0.13008747949581362,eda,False,True,RreliefF,0.0,10
0,SVRpoly,V(std),0.048059976006402515,-0.13591425465501766,audio,False,False,none,0.0,0
10,DT,A(std),0.04807776809835074,-0.04419985191811254,eda,False,True,embedded,0.0,0
7,Ridge,A(std),0.048106366190127356,-0.05007048649303776,eda,False,True,Pearson,0.05,0
